"Index","open","high","low","close","volume"
2012-11-30,5.5,5.5,4.99,4.99,300
2012-12-06,5,5,5,5,100
2012-12-10,5,5,5,5,0
2012-12-14,4.5,4.5,4.5,4.5,0
2012-12-20,4.6,4.6,4.4,4.4,2800
2012-12-21,4.35,4.35,3.51,3.51,10900
2012-12-26,3.6,3.6,2.99,3,8100
2012-12-27,3.1,3.1,3,3,1100
2012-12-28,3.11,3.12,3,3,7600
2013-01-02,3.2,3.2,3.11,3.11,6300
2013-01-03,3.15,3.15,3.15,3.15,0
2013-01-04,3.1,3.1,3.1,3.1,0
2013-01-07,3.1,3.1,3.1,3.1,0
2013-01-08,3.05,3.05,3.05,3.05,0
2013-01-09,3.05,3.05,3.05,3.05,0
2013-01-10,3.55,3.55,3.55,3.55,0
2013-01-14,3.11,3.11,3.11,3.11,0
2013-01-15,3.06,3.06,3.06,3.06,0
2013-01-17,3.06,3.06,3.06,3.06,0
2013-01-18,3.06,3.06,3.06,3.06,0
2013-01-22,3.05,3.05,3.05,3.05,0
2013-01-24,3.1,3.1,3.1,3.1,0
2013-02-04,3.55,3.55,3.55,3.55,0
2013-02-05,3.05,3.05,3.05,3.05,0
2013-02-06,3.55,3.55,3.55,3.55,0
2013-02-07,3.14,3.14,3.14,3.14,0
2013-02-14,3.55,3.55,3.55,3.55,200
2013-02-15,3.55,3.55,3.55,3.55,0
2013-02-18,3.55,3.55,3.55,3.55,200
2013-02-19,3.1,3.1,3.1,3.1,0
2013-02-20,3.2,3.2,3.2,3.2,0
2013-02-21,3.3,3.3,3.3,3.3,0
2013-02-22,3.05,3.05,3.05,3.05,0
2013-02-25,3.05,3.05,3.05,3.05,0
2013-02-26,3.05,3.05,3.05,3.05,0
2013-03-04,3.06,3.06,3.06,3.06,0
2013-03-07,3.5,3.5,3.5,3.5,500
2013-03-13,3.3,3.3,3.3,3.3,0
2013-03-14,3.07,3.07,3.07,3.07,0
2013-03-20,3.07,3.07,3.07,3.07,0
2013-03-21,3.07,3.07,3.07,3.07,0
2013-03-25,3.07,3.07,3.07,3.07,0
2013-03-26,3.07,3.07,3.07,3.07,0
2013-03-27,3.6,3.6,3.6,3.6,300
2013-04-03,3.07,3.07,3.07,3.07,0
2013-04-05,3.07,3.07,3.07,3.07,0
2013-04-09,3.3,3.3,3.3,3.3,0
2013-04-11,3.35,3.35,3.35,3.35,0
2013-04-15,3.03,3.03,3.03,3.03,0
2013-04-17,3.6,3.6,3.6,3.6,6000
2013-04-18,3.1,3.1,3.1,3.1,0
2013-04-23,3.1,3.1,3.1,3.1,0
2013-04-30,2,2,2,2,0
2013-05-02,2,2,2,2,0
2013-05-03,2.7,2.7,2.7,2.7,0
2013-05-06,3,3,3,3,0
2013-05-07,3.75,3.75,3.75,3.75,400
2013-05-08,3,3,3,3,0
2013-05-09,3.75,3.75,3.75,3.75,200
2013-05-10,3,3,3,3,0
2013-05-13,3.75,3.75,3.75,3.75,0
2013-05-15,3.75,3.75,3.75,3.75,200
2013-05-17,3.75,3.75,3.75,3.75,0
2013-05-20,3.75,3.75,3.75,3.75,0
2013-05-21,3,3,3,3,0
2013-05-22,3,3,3,3,0
2013-05-23,3.75,3.75,3.75,3.75,0
2013-05-24,3,3,3,3,0
2013-05-27,3.08,3.08,3.08,3.08,0
2013-06-03,3.5,3.5,3.5,3.5,100
2013-06-04,3.5,3.5,3.5,3.5,0
2013-06-05,3.5,3.5,3.5,3.5,0
2013-06-07,3,3,3,3.5,0
2013-06-11,3.5,3.5,3.5,3.5,0
2013-06-17,3,3,3,3.5,0
2013-06-18,3.5,3.5,3.5,3.5,0
2013-06-20,3,3,3,3.5,0
2013-06-24,0,NA,NA,3.5,0
2013-06-26,0,NA,NA,3.5,0
2013-06-27,0,NA,NA,3.5,0
2013-06-28,0,NA,NA,3.5,0
2013-07-01,0,NA,NA,3.5,0
2013-07-02,0,NA,NA,3.5,0
2013-07-10,3.75,3.75,3.75,3.75,200
2013-07-15,0,NA,NA,3.75,0
2013-08-13,0,NA,NA,3.75,0
2013-08-22,0,NA,NA,3.75,0
2013-08-26,0,NA,NA,3.75,0
